Re,phi,Nr_inner,Nr_outer,Nz,Nu,eff,it_inner,it_outer
10000.0,0.0,12,13,40,75.13302084957503,0.1768499259837129,136,94
10000.0,0.0,12,13,60,75.11195834671634,0.17711942047484663,147,108
10000.0,0.0,12,13,90,75.09856337155794,0.17730523702781248,164,125
10000.0,0.0,15,16,40,74.7775469348845,0.17604657450170952,190,119
10000.0,0.0,15,16,60,74.75700801941016,0.17634262280594767,203,132
10000.0,0.0,15,16,90,74.7440674062108,0.17654804339429908,222,147
10000.0,0.0,18,19,40,74.47130244492286,0.17517159766028254,250,164
10000.0,0.0,18,19,60,74.45129023066599,0.17548840609768793,267,177
10000.0,0.0,18,19,90,74.43875113926543,0.17570943707878103,288,193
10000.0,0.0,21,22,40,51.884938935434356,0.14414967790383412,322,195
10000.0,0.0,21,22,60,52.064633483906405,0.1446800081059809,343,208
10000.0,0.0,21,22,90,51.61783125577491,0.14431439228524226,368,222
10000.0,0.0,15,16,150,74.73465384639248,0.17671866720712354,256,173
30000.0,0.05,12,13,40,207.86908492918124,0.0931367299134868,500,118
30000.0,0.05,12,13,60,207.79647743150346,0.09323104369933705,176,134
30000.0,0.05,12,13,90,207.74903667995704,0.09329589979569512,200,154
30000.0,0.05,15,16,40,207.26963364722155,0.09284916104780817,227,145
30000.0,0.05,15,16,60,207.19153876479166,0.09295396398985076,246,161
30000.0,0.05,15,16,90,207.14084629001533,0.09302657260496272,269,181
30000.0,0.05,18,19,40,206.7453770771195,0.09252476662183846,305,198
30000.0,0.05,18,19,60,206.66236361442506,0.09263758302036318,327,216
30000.0,0.05,18,19,90,206.6085369859456,0.09271621975844062,353,237
30000.0,0.05,21,22,40,206.29870334496957,0.09232473573514602,393,235
30000.0,0.05,21,22,60,206.21100374163362,0.09244498827393341,418,252
30000.0,0.05,21,22,90,206.15404382508626,0.09252924117225977,448,272
30000.0,0.05,15,16,150,207.10190150379313,0.09308667409059213,312,216
100000.0,0.1,12,13,40,659.2759857704841,0.035096712961215484,500,147
100000.0,0.1,12,13,60,659.0303328185653,0.03511889565404457,500,165
100000.0,0.1,12,13,90,658.8680417699065,0.03513409827677291,500,191
100000.0,0.1,15,16,40,658.0825065766122,0.035026642612286614,500,180
100000.0,0.1,15,16,60,657.8084951155341,0.0350519473211884,500,198
100000.0,0.1,15,16,90,657.6284296916635,0.03506940648460211,500,223
100000.0,0.1,18,19,40,657.0001397440499,0.034948641181486335,500,247
100000.0,0.1,18,19,60,656.7006467672232,0.03497637633928696,500,266
100000.0,0.1,18,19,90,656.5041775359559,0.03499562524854827,500,292
100000.0,0.1,21,22,40,656.0633637455978,0.034901364500437744,500,289
100000.0,0.1,21,22,60,655.7400471156526,0.03493130745450799,500,309
100000.0,0.1,21,22,90,655.5279881837863,0.03495220280509119,500,334
100000.0,0.1,15,16,150,657.4871284334613,0.035083779739543915,377,269
