Re,phi,Nr_inner,Nr_outer,Nz,Nu,eff,it_inner,it_outer
10000.0,0.0,12,13,40,75.13302084957503,0.1768499259837129,136,94
10000.0,0.0,12,13,60,75.11195834671634,0.17711942047484663,147,108
10000.0,0.0,12,13,90,75.09856337155794,0.17730523702781248,164,125
10000.0,0.0,15,16,40,74.7775469348845,0.17604657450170952,190,119
10000.0,0.0,15,16,60,74.75700801941016,0.17634262280594767,203,132
10000.0,0.0,15,16,90,74.7440674062108,0.17654804339429908,222,147
10000.0,0.0,18,19,40,74.47130244492286,0.17517159766028254,250,164
10000.0,0.0,18,19,60,74.45129023066599,0.17548840609768793,267,177
10000.0,0.0,18,19,90,74.43875113926543,0.17570943707878103,288,193
10000.0,0.0,21,22,40,51.884938935434356,0.14414967790383412,322,195
10000.0,0.0,21,22,60,52.064633483906405,0.1446800081059809,343,208
10000.0,0.0,21,22,90,51.61783125577491,0.14431439228524226,368,222
10000.0,0.0,15,16,150,74.73465384639248,0.17671866720712354,256,173
30000.0,0.05,12,13,40,192.6997295878142,0.11991388826056139,800,118
30000.0,0.05,12,13,60,192.6451720184912,0.12004885489556746,169,134
30000.0,0.05,12,13,90,192.609540929753,0.12014134512290253,190,154
30000.0,0.05,15,16,40,192.03411436805217,0.11951669602902502,218,145
30000.0,0.05,15,16,60,191.97819624649404,0.11966564799907667,235,161
30000.0,0.05,15,16,90,191.9420058788772,0.11976843889242532,258,181
30000.0,0.05,18,19,40,191.45995388487353,0.11908329117614079,292,198
30000.0,0.05,18,19,60,191.4027709112704,0.11924300659872222,312,216
30000.0,0.05,18,19,90,191.36581949333183,0.1193538469449751,337,237
30000.0,0.05,21,22,40,190.97395753061798,0.11880819240117962,374,235
30000.0,0.05,21,22,60,190.91535649973093,0.11897784717515641,399,252
30000.0,0.05,21,22,90,190.8773862710616,0.11909614925184628,427,272
30000.0,0.05,15,16,150,191.91446552376468,0.11985324918191682,299,216
100000.0,0.1,12,13,40,570.2288839966185,0.05963050193669932,800,147
100000.0,0.1,12,13,60,570.0585578876155,0.059673776007885995,800,165
100000.0,0.1,12,13,90,569.945529479781,0.05970331253606497,800,191
100000.0,0.1,15,16,40,568.8253693337648,0.05949843979332084,800,180
100000.0,0.1,15,16,60,568.6431543121555,0.05954717621469853,800,198
100000.0,0.1,15,16,90,568.5230038368081,0.059580653069734195,800,223
100000.0,0.1,18,19,40,567.5892456451621,0.05935761880303535,800,247
100000.0,0.1,18,19,60,567.3960834903293,0.05941063616058868,800,266
100000.0,0.1,18,19,90,567.2689314554264,0.05944725437931835,800,292
100000.0,0.1,21,22,40,566.5336126255661,0.05926836109540108,800,289
100000.0,0.1,21,22,60,566.3296779026379,0.059325245014839274,800,309
100000.0,0.1,21,22,90,566.1953786420341,0.05936474549854438,504,334
100000.0,0.1,15,16,150,568.4286864906605,0.05960812441639099,353,269
