combo,Re,phi,PEC
Al2O3 Bahmani,10000,0.025,0.8619
Al2O3 Bahmani,20000,0.025,0.8637
Al2O3 Bahmani,40000,0.025,0.8656
Al2O3 Bahmani,60000,0.025,0.8667
Al2O3 Bahmani,80000,0.025,0.8675
Al2O3 Bahmani,100000,0.025,0.8681
Al2O3 Bahmani,10000,0.05,0.7115
Al2O3 Bahmani,20000,0.05,0.7149
Al2O3 Bahmani,40000,0.05,0.7184
Al2O3 Bahmani,60000,0.05,0.7204
Al2O3 Bahmani,80000,0.05,0.7218
Al2O3 Bahmani,100000,0.05,0.7229
Al2O3 Bahmani,10000,0.075,0.5826
Al2O3 Bahmani,20000,0.075,0.5867
Al2O3 Bahmani,40000,0.075,0.591
Al2O3 Bahmani,60000,0.075,0.5934
Al2O3 Bahmani,80000,0.075,0.5952
Al2O3 Bahmani,100000,0.075,0.5965
Al2O3 Bahmani,10000,0.1,0.4809
Al2O3 Bahmani,20000,0.1,0.4852
Al2O3 Bahmani,40000,0.1,0.4896
Al2O3 Bahmani,60000,0.1,0.4922
Al2O3 Bahmani,80000,0.1,0.4941
Al2O3 Bahmani,100000,0.1,0.4955
Al2O3 Maxwell/Brinkman,10000,0.025,0.9782
Al2O3 Maxwell/Brinkman,20000,0.025,0.9777
Al2O3 Maxwell/Brinkman,40000,0.025,0.9773
Al2O3 Maxwell/Brinkman,60000,0.025,0.977
Al2O3 Maxwell/Brinkman,80000,0.025,0.9768
Al2O3 Maxwell/Brinkman,100000,0.025,0.9767
Al2O3 Maxwell/Brinkman,10000,0.05,0.9528
Al2O3 Maxwell/Brinkman,20000,0.05,0.952
Al2O3 Maxwell/Brinkman,40000,0.05,0.9511
Al2O3 Maxwell/Brinkman,60000,0.05,0.9507
Al2O3 Maxwell/Brinkman,80000,0.05,0.9503
Al2O3 Maxwell/Brinkman,100000,0.05,0.95
Al2O3 Maxwell/Brinkman,10000,0.075,0.9245
Al2O3 Maxwell/Brinkman,20000,0.075,0.9233
Al2O3 Maxwell/Brinkman,40000,0.075,0.9221
Al2O3 Maxwell/Brinkman,60000,0.075,0.9215
Al2O3 Maxwell/Brinkman,80000,0.075,0.921
Al2O3 Maxwell/Brinkman,100000,0.075,0.9206
Al2O3 Maxwell/Brinkman,10000,0.1,0.8937
Al2O3 Maxwell/Brinkman,20000,0.1,0.8923
Al2O3 Maxwell/Brinkman,40000,0.1,0.8908
Al2O3 Maxwell/Brinkman,60000,0.1,0.8899
Al2O3 Maxwell/Brinkman,80000,0.1,0.8893
Al2O3 Maxwell/Brinkman,100000,0.1,0.8889
Al2O3 Corcione,10000,0.025,0.9519
Al2O3 Corcione,20000,0.025,0.9519
Al2O3 Corcione,40000,0.025,0.9518
Al2O3 Corcione,60000,0.025,0.9518
Al2O3 Corcione,80000,0.025,0.9518
Al2O3 Corcione,100000,0.025,0.9518
Al2O3 Corcione,10000,0.05,0.9001
Al2O3 Corcione,20000,0.05,0.9008
Al2O3 Corcione,40000,0.05,0.9015
Al2O3 Corcione,60000,0.05,0.9019
Al2O3 Corcione,80000,0.05,0.9022
Al2O3 Corcione,100000,0.05,0.9024
Al2O3 Corcione,10000,0.075,0.8399
Al2O3 Corcione,20000,0.075,0.8415
Al2O3 Corcione,40000,0.075,0.8431
Al2O3 Corcione,60000,0.075,0.8441
Al2O3 Corcione,80000,0.075,0.8447
Al2O3 Corcione,100000,0.075,0.8452
Al2O3 Corcione,10000,0.1,0.7706
Al2O3 Corcione,20000,0.1,0.7731
Al2O3 Corcione,40000,0.1,0.7757
Al2O3 Corcione,60000,0.1,0.7772
Al2O3 Corcione,80000,0.1,0.7782
Al2O3 Corcione,100000,0.1,0.779
CuO Maxwell/Brinkman,10000,0.025,1.0145
CuO Maxwell/Brinkman,20000,0.025,1.014
CuO Maxwell/Brinkman,40000,0.025,1.0136
CuO Maxwell/Brinkman,60000,0.025,1.0133
CuO Maxwell/Brinkman,80000,0.025,1.0132
CuO Maxwell/Brinkman,100000,0.025,1.013
CuO Maxwell/Brinkman,10000,0.05,1.0185
CuO Maxwell/Brinkman,20000,0.05,1.0176
CuO Maxwell/Brinkman,40000,0.05,1.0168
CuO Maxwell/Brinkman,60000,0.05,1.0163
CuO Maxwell/Brinkman,80000,0.05,1.0159
CuO Maxwell/Brinkman,100000,0.05,1.0157
CuO Maxwell/Brinkman,10000,0.075,1.0137
CuO Maxwell/Brinkman,20000,0.075,1.0125
CuO Maxwell/Brinkman,40000,0.075,1.0113
CuO Maxwell/Brinkman,60000,0.075,1.0106
CuO Maxwell/Brinkman,80000,0.075,1.0101
CuO Maxwell/Brinkman,100000,0.075,1.0097
CuO Maxwell/Brinkman,10000,0.1,1.0015
CuO Maxwell/Brinkman,20000,0.1,1.0
CuO Maxwell/Brinkman,40000,0.1,0.9984
CuO Maxwell/Brinkman,60000,0.1,0.9975
CuO Maxwell/Brinkman,80000,0.1,0.9969
